ipv4_address_id,device_id,ipv4_address,ipv4_prefixlen,ipv4_type,ipv4_network_id,vrf_id,port_id,ifIndex,ipv4_network
135032,9284,10.1.8.6,30,private,23146,,402959,1,10.1.8.4/30
43029,4075,10.1.8.9,30,private,6336,,122972,17,10.1.8.8/30
19382,2162,10.1.8.10,30,private,6336,,50474,2,10.1.8.8/30
121827,4075,10.1.8.13,30,private,8170,,122972,17,10.1.8.12/30
122194,8880,10.1.8.14,30,private,8170,,302903,3,10.1.8.12/30
40790,4138,10.1.8.18,30,private,9456,,118576,3,10.1.8.16/30
43032,4075,10.1.8.25,30,private,10203,,122972,17,10.1.8.24/30
124740,4022,10.1.8.26,30,private,10203,,115028,1,10.1.8.24/30
43209,4075,10.1.8.29,30,private,10971,,122972,17,10.1.8.28/30
84372,4353,10.1.8.30,30,private,10971,,123543,3,10.1.8.28/30
44184,4075,10.1.8.37,30,private,11093,,122972,17,10.1.8.36/30
44202,1435,10.1.8.38,30,private,11093,,33922,1,10.1.8.36/30
80056,6599,10.1.8.38,30,private,11093,,227815,1,10.1.8.36/30
62659,4075,10.1.8.41,30,private,14780,,122972,17,10.1.8.40/30
121580,5522,10.1.8.42,30,private,14780,,176780,2,10.1.8.40/30
94711,4075,10.1.8.49,30,private,19415,,122972,17,10.1.8.48/30
94701,7495,10.1.8.50,30,private,19415,,256556,1,10.1.8.48/30
97250,4075,10.1.8.53,30,private,19849,,122972,17,10.1.8.52/30
44615,4075,10.1.8.254,28,private,11160,,122972,17,10.1.8.240/28
43034,4075,10.1.9.1,24,private,5248,,122972,17,10.1.9.0/24
122196,8881,10.1.9.232,24,private,5248,,0,4,10.1.9.0/24
117524,8711,10.1.9.234,24,private,5248,,0,4,10.1.9.0/24
97154,7650,10.1.9.250,24,private,5248,,0,4,10.1.9.0/24
133560,3932,10.1.10.1,24,private,5875,,111904,4,10.1.10.0/24
133832,2074,10.1.10.2,24,private,5875,,0,5,10.1.10.0/24
133488,2070,10.1.10.3,24,private,5875,,0,6,10.1.10.0/24
17468,1671,10.1.10.4,24,private,5875,,40908,5,10.1.10.0/24
119314,2077,10.1.10.5,24,private,5875,,48560,5,10.1.10.0/24
37248,3933,10.1.10.10,24,private,5875,,111948,28,10.1.10.0/24
131163,2384,10.1.11.1,24,private,5907,,53114,10,10.1.11.0/24
46622,1670,10.1.11.2,24,private,5907,,0,9,10.1.11.0/24
133561,3932,10.1.11.10,24,private,5907,,390346,24,10.1.11.0/24
131164,2384,10.1.12.1,24,private,6474,,170276,25,10.1.12.0/24
86218,6984,10.1.12.236,24,private,6474,,0,4,10.1.12.0/24
78003,6469,10.1.12.239,24,private,6474,,0,4,10.1.12.0/24
71472,5990,10.1.12.246,24,private,6474,,0,4,10.1.12.0/24
53681,5063,10.1.12.248,24,private,6474,,0,4,10.1.12.0/24
89725,3041,10.1.12.252,24,private,6474,,0,4,10.1.12.0/24
111459,3919,10.1.13.2,24,private,9982,,0,9,10.1.13.0/24
105330,3920,10.1.13.3,24,private,9982,,0,9,10.1.13.0/24
39750,4075,10.1.13.10,24,private,9982,,116754,13,10.1.13.0/24
124755,4075,10.1.14.1,24,private,13037,,143631,18,10.1.14.0/24
133562,3932,10.1.14.10,24,private,13037,,390347,25,10.1.14.0/24
131179,2384,10.1.15.1,24,private,13782,,155030,15,10.1.15.0/24
131228,5239,10.1.15.2,24,private,13782,,0,6,10.1.15.0/24
130231,5226,10.1.15.10,24,private,13782,,154708,12,10.1.15.0/24
131180,2384,10.1.16.1,24,private,13766,,155044,16,10.1.16.0/24
56781,5238,10.1.16.2,24,private,13766,,0,6,10.1.16.0/24
133563,3932,10.1.16.10,24,private,13766,,390348,26,10.1.16.0/24
133586,3932,10.1.18.1,24,private,22507,,390341,12,10.1.18.0/24
113368,8500,10.1.18.250,24,private,22507,,0,4,10.1.18.0/24
113388,8502,10.1.19.2,30,private,22511,,286432,2,10.1.19.0/30
17420,1649,10.1.79.8,24,private,5954,,40675,12,10.1.79.0/24
133540,3932,10.1.99.1,24,private,713,,390343,21,10.1.99.0/24
133587,3932,10.1.250.1,32,private,25730,,390497,29,10.1.250.1/32
131958,4075,10.1.250.2,32,private,25501,,241110,22,10.1.250.2/32
133564,3932,10.1.255.2,32,private,6037,,390342,20,10.1.255.2/32
124757,4075,10.1.255.4,32,private,24238,,116755,14,10.1.255.4/32
130232,5226,10.1.255.5,32,private,25150,,154707,11,10.1.255.5/32
133541,3932,10.2.0.1,30,private,25115,,390343,21,10.2.0.0/30
133542,3932,10.2.0.5,30,private,25116,,390343,21,10.2.0.4/30
130211,5226,10.2.0.9,30,private,2796,,271897,13,10.2.0.8/30
17980,1812,10.2.0.10,30,private,2796,,43515,2,10.2.0.8/30
130212,5226,10.2.0.13,30,private,721,,271897,13,10.2.0.12/30
131241,338,10.2.0.14,30,private,721,,6159,1,10.2.0.12/30
133543,3932,10.2.0.21,30,private,25117,,390343,21,10.2.0.20/30
133544,3932,10.2.0.25,30,private,25118,,390343,21,10.2.0.24/30
133545,3932,10.2.0.29,30,private,25119,,390343,21,10.2.0.28/30
130213,5226,10.2.0.33,30,private,25114,,271897,13,10.2.0.32/30
38462,1814,10.2.0.34,30,private,25114,,43537,2,10.2.0.32/30
130214,5226,10.2.0.37,30,private,25142,,271897,13,10.2.0.36/30
130215,5226,10.2.0.45,30,private,6598,,271897,13,10.2.0.44/30
124694,4116,10.2.0.46,30,private,6598,,117956,3,10.2.0.44/30
130216,5226,10.2.0.49,30,private,7348,,271897,13,10.2.0.48/30
106497,8242,10.2.0.50,30,private,7348,,273631,2,10.2.0.48/30
130205,2886,10.2.0.50,30,private,7348,,69715,2,10.2.0.48/30
40019,2947,10.2.0.54,30,private,7542,,73859,2,10.2.0.52/30
133546,3932,10.2.0.57,30,private,7694,,390343,21,10.2.0.56/30
133547,3932,10.2.0.61,30,private,25120,,390343,21,10.2.0.60/30
130217,5226,10.2.0.69,30,private,25143,,271897,13,10.2.0.68/30
43666,4372,10.2.0.78,30,private,9833,,124029,3,10.2.0.76/30
133548,3932,10.2.0.81,30,private,10089,,390343,21,10.2.0.80/30
124674,6085,10.2.0.82,30,private,10089,,193196,3,10.2.0.80/30
130218,5226,10.2.0.85,30,private,25144,,271897,13,10.2.0.84/30
133549,3932,10.2.0.89,30,private,10392,,390343,21,10.2.0.88/30
65199,4119,10.2.0.90,30,private,10392,,117971,3,10.2.0.88/30
133550,3932,10.2.0.93,30,private,25121,,390343,21,10.2.0.92/30
54146,5073,10.2.0.98,30,private,13122,,144980,5,10.2.0.96/30
130219,5226,10.2.0.105,30,private,18408,,271897,13,10.2.0.104/30
119914,7052,10.2.0.106,30,private,18408,,238171,1,10.2.0.104/30
133551,3932,10.2.0.109,30,private,19812,,390343,21,10.2.0.108/30
118242,7646,10.2.0.110,30,private,19812,,260730,3,10.2.0.108/30
37249,3933,10.2.0.241,28,private,5876,,111947,27,10.2.0.240/28
131257,7364,10.2.0.252,28,private,5876,,252967,1,10.2.0.240/28
124778,6310,10.2.0.253,28,private,5876,,197355,1,10.2.0.240/28
133552,3932,10.2.0.254,28,private,5876,,390343,21,10.2.0.240/28
131165,2384,10.2.1.1,30,private,6317,,170276,25,10.2.1.0/30
131166,2384,10.2.1.5,30,private,8255,,170276,25,10.2.1.4/30
27687,3125,10.2.1.6,30,private,8255,,83016,7,10.2.1.4/30
131167,2384,10.2.1.9,30,private,25125,,170276,25,10.2.1.8/30
130172,5250,10.2.1.10,30,private,25125,,156063,2,10.2.1.8/30
131168,2384,10.2.1.13,30,private,14214,,170276,25,10.2.1.12/30
114984,8553,10.2.1.14,30,private,14214,,289332,2,10.2.1.12/30
131169,2384,10.2.1.17,30,private,25131,,170276,25,10.2.1.16/30
125172,7790,10.2.1.18,30,private,25131,,263682,1,10.2.1.16/30
131170,2384,10.2.1.21,30,private,15235,,170276,25,10.2.1.20/30
81018,5656,10.2.1.22,30,private,15235,,182490,4,10.2.1.20/30
131171,2384,10.2.1.29,30,private,25132,,170276,25,10.2.1.28/30
131031,9131,10.2.1.30,30,private,25132,,368517,2,10.2.1.28/30
131172,2384,10.2.1.33,30,private,25305,,170276,25,10.2.1.32/30
131173,2384,10.2.1.37,30,private,25306,,170276,25,10.2.1.36/30
131174,2384,10.2.1.41,30,private,25307,,170276,25,10.2.1.40/30
135017,2384,10.2.1.45,32,private,25696,,402671,15744255,10.2.1.45/32
132599,9112,10.2.1.46,32,private,25590,,384237,12,10.2.1.46/32
131181,2384,10.2.1.225,29,private,14921,,53111,7,10.2.1.224/29
63632,5565,10.2.1.226,29,private,14921,,178858,4,10.2.1.224/29
131175,2384,10.2.1.233,29,private,25308,,170276,25,10.2.1.232/29
